iter	Passed	Remaining
399	33641	8410
400	33723	8325
401	33794	8238
402	33873	8153
403	33943	8065
404	34007	7977
405	34098	7894
406	34257	7827
407	34361	7748
408	34462	7667
409	34579	7590
410	34676	7508
411	34765	7425
412	34850	7341
413	34924	7254
414	35016	7172
415	35109	7089
416	35200	7006
417	35267	6918
418	35329	6829
419	35401	6743
420	35488	6659
421	35549	6570
422	35619	6483
423	35708	6400
424	35771	6312
425	35852	6227
426	35934	6143
427	36004	6056
428	36075	5970
429	36149	5884
430	36229	5800
431	36300	5714
432	36372	5628
433	36483	5548
434	36550	5461
435	36612	5374
436	36693	5289
437	36791	5207
438	36868	5122
439	36935	5036
440	37011	4951
441	37098	4868
442	37200	4786
443	37300	4704
444	37385	4620
445	37471	4536
446	37559	4453
447	37639	4368
448	37719	4284
449	37819	4202
450	37888	4116
451	37997	4035
452	38120	3955
453	38227	3873
454	38344	3792
455	38459	3711
456	38569	3629
457	38661	3545
458	38756	3461
459	38873	3380
460	38948	3294
461	39051	3212
462	39142	3128
463	39207	3041
464	39273	2956
465	39373	2872
466	39456	2788
467	39543	2703
468	39621	2618
469	39702	2534
470	39800	2450
471	39910	2367
472	40013	2284
473	40127	2201
474	40197	2115
475	40282	2031
476	40364	1946
477	40439	1861
478	40510	1776
479	40573	1690
480	40634	1605
481	40719	1520
482	40785	1435
483	40860	1350
484	40930	1265
485	41028	1181
486	41108	1097
487	41178	1012
488	41264	928
489	41350	843
490	41418	759
491	41532	675
492	41638	591
493	41733	506
494	41803	422
495	41894	337
496	41980	253
497	42070	168
498	42155	84
499	42225	0
