iter	RMSE
0	1042.088718
1	992.4010796
2	945.3637773
3	900.4978915
4	857.9319219
5	817.5682445
6	779.3205939
7	742.9414912
8	708.2836915
9	675.5129039
10	644.582744
11	615.2032361
12	587.4203339
13	561.1113249
14	536.0622946
15	512.3945052
16	489.9526957
17	468.7108567
18	448.6859221
19	429.8389925
20	411.9429335
21	395.0281685
22	379.1082494
23	364.0400985
24	349.8786493
25	336.6396706
26	324.0508792
27	312.1661057
28	300.9465002
29	290.5582035
30	280.7880482
31	271.5237081
32	262.8312925
33	254.6732767
34	247.1148457
35	239.879309
36	233.1754329
37	226.9702497
38	221.1207348
39	215.7499721
40	210.6166505
41	205.8124844
42	201.2354941
43	196.9964394
44	193.2655371
45	189.5439402
46	186.1401678
47	182.9822631
48	180.0879495
49	177.3947435
50	174.9647857
51	172.604518
52	170.2909454
53	168.1861759
54	166.3022589
55	164.5443625
56	162.8824224
57	161.3187509
58	159.8888417
59	158.6172117
60	157.2855987
61	156.1206185
62	155.05934
63	153.9389222
64	152.9942124
65	152.0008871
66	151.1562105
67	150.3000597
68	149.4697746
69	148.4767754
70	147.7340002
71	147.0268461
72	146.1807023
73	145.4224046
74	144.763721
75	144.2328929
76	143.3835414
77	142.8704297
78	142.3210873
79	141.7831002
80	141.1369649
81	140.5252843
82	139.9702532
83	139.431179
84	139.0677431
85	138.6380133
86	138.0859608
87	137.7381291
88	137.3687475
89	136.941555
90	136.4423866
91	136.0274722
92	135.4464681
93	135.136182
94	134.814232
95	134.4661139
96	134.1520265
97	133.7689287
98	133.5286312
99	133.2332108
100	132.9609924
101	132.5807355
102	132.2422038
103	131.8950789
104	131.5521781
105	130.8028754
106	130.4452257
107	130.1541263
108	129.8797493
109	129.4120492
110	129.038177
111	128.7611554
112	128.3163155
113	128.0798463
114	127.7737225
115	127.3698862
116	127.1491906
117	126.9534973
118	126.8212398
119	126.5988974
120	126.333847
121	126.1446831
122	125.8604638
123	125.5844201
124	125.3649365
125	125.0859686
126	124.9009894
127	124.7566114
128	124.3862991
129	124.1574118
130	123.7848432
131	123.4452052
132	123.0552686
133	122.7992036
134	122.5247889
135	122.3085434
136	122.2247359
137	121.8618671
