iter	RMSE
138	121.6476419
139	121.5357501
140	121.2961278
141	121.2180212
142	121.0592104
143	120.7155043
144	120.6257649
145	120.2287441
146	120.0550007
147	119.7989739
148	119.5927289
149	119.5330896
150	119.4608335
151	119.3012734
152	119.258844
153	118.7787618
154	118.640326
155	118.5331789
156	118.3894282
157	118.3421998
158	118.0610023
159	117.9587385
160	117.8629719
161	117.809682
162	117.5817162
163	117.4060721
164	117.1943982
165	117.04462
166	116.8599395
167	116.736966
168	116.3983355
169	116.1459001
170	115.9059398
171	115.8347096
172	115.7203055
173	115.4301294
174	115.0870181
175	114.910325
176	114.7992726
177	114.583478
178	114.3321985
179	114.2194833
180	114.0572106
181	113.9517338
182	113.9149248
183	113.7207376
184	113.6234317
185	113.2505372
186	113.1556037
187	113.078911
188	113.0268332
189	112.8651839
190	112.7309509
191	112.5704744
192	112.4111304
193	112.3006408
194	112.0446237
195	111.78404
196	111.4962235
197	111.3456045
198	111.2608827
199	111.0449958
200	110.74923
201	110.6259174
202	110.4438545
203	110.3774876
204	110.1862729
205	110.0723789
206	109.8901213
207	109.6139275
208	109.2083012
209	108.9854714
210	108.8922748
211	108.6405515
212	108.5084846
213	108.2963171
214	108.1708137
215	108.0351085
216	107.836508
217	107.6358616
218	107.3315189
219	107.1087546
220	106.7505688
221	106.4614792
222	106.2055207
223	106.1258757
224	106.0654974
225	105.8628153
226	105.7341873
227	105.6339089
228	105.4185281
229	105.256056
230	105.0236361
231	104.8774976
232	104.7497006
233	104.6038322
234	104.5529795
235	104.3956953
236	104.1807509
237	104.0110596
238	103.9757889
239	103.9010008
240	103.711565
241	103.5588613
242	103.3559205
243	103.3014012
244	103.1627334
245	103.048665
246	102.8748242
247	102.7448332
248	102.6783537
249	102.5028459
250	102.4402308
251	102.3209341
252	102.1742386
253	102.0204368
254	101.9603076
255	101.829449
256	101.7726891
257	101.7429565
258	101.5969618
259	101.453327
260	101.3129565
261	101.2528358
262	101.139037
263	101.0330886
264	100.9454627
265	100.8260174
266	100.6166037
267	100.4226793
268	100.3427395
269	100.2840792
270	100.2342565
271	100.043744
272	99.95458501
273	99.82399654
274	99.7059399
275	99.40309995
276	99.11608241
277	98.95468117
278	98.89968627
279	98.77643464
280	98.63279626
281	98.42979901
282	98.31336474
283	98.18677637
284	98.10326594
285	97.90142956
286	97.80373072
287	97.76358771
288	97.64344893
289	97.45498796
290	97.31827894
291	97.17987751
292	96.88407417
293	96.6354957
294	96.49541068
295	96.37280626
296	96.24645611
297	96.1203706
298	95.98904248
299	95.94285299
300	95.78206488
301	95.74261483
302	95.56046769
303	95.4284399
304	95.33690644
305	95.22390137
306	95.18309973
307	95.07329141
308	95.00605532
309	94.88848937
310	94.76762871
311	94.5852027
312	94.51724202
313	94.37793836
314	94.2787405
315	94.05832988
316	93.95277075
317	93.85114455
318	93.80667264
319	93.70978868
320	93.55641634
321	93.46774662
322	93.34238468
323	93.24312284
324	93.16297912
325	93.04480113
326	92.92611712
327	92.82884779
328	92.74707205
329	92.59421249
330	92.54873734
331	92.47759086
332	92.37371875
333	92.24923251
334	92.15761966
335	92.07114686
336	91.86709894
337	91.77025875
338	91.67068765
339	91.57319119
340	91.49421287
341	91.41284692
342	91.27758283
343	91.1585093
344	91.0922547
345	90.9658442
346	90.89250264
347	90.75261844
348	90.67544254
349	90.62942615
350	90.51450828
351	90.45121389
352	90.34136948
353	90.25274653
354	90.12616609
355	90.04325819
356	90.00478743
357	89.95213267
358	89.85977463
359	89.84740136
360	89.77023859
361	89.6797461
362	89.62023904
363	89.53295533
364	89.4452557
365	89.41483695
366	89.2893358
367	89.21376153
368	89.19242575
369	89.10638051
370	89.01789166
371	88.96551629
372	88.88406449
373	88.78529115
374	88.68131415
375	88.56442906
376	88.48585542
377	88.44086247
378	88.35950654
379	88.2864713
380	88.18142521
381	88.07545078
382	88.00430889
383	87.91451571
384	87.85237594
385	87.79487093
386	87.72466098
387	87.70666829
388	87.61346691
389	87.58676438
390	87.49988396
391	87.44353576
392	87.34000631
393	87.24031143
394	87.17097907
395	87.07753513
396	87.00420835
397	86.93640998
398	86.85985345
399	86.82552844
400	86.7303328
401	86.62672854
402	86.53947133
403	86.48497866
404	86.4690702
405	86.4173511
406	86.3232054
407	86.23725343
408	86.17340518
409	86.14870281
410	85.98082883
411	85.91612891
412	85.84301203
413	85.75448944
414	85.69029437
415	85.61615542
416	85.60252842
417	85.54108195
418	85.49845118
419	85.35192862
420	85.20963734
421	85.09249951
422	85.02806621
423	84.99413098
424	84.92429182
425	84.85411264
426	84.7775521
427	84.67677604
428	84.60969517
429	84.55925714
430	84.49216625
431	84.43743114
432	84.36123142
433	84.34643652
434	84.28477927
435	84.25605316
436	84.18927661
437	84.16114196
438	84.10228778
439	84.03300238
440	83.95586038
441	83.89509009
442	83.81774361
443	83.77279416
444	83.68809696
445	83.60913816
446	83.5348496
447	83.46469494
448	83.39060412
449	83.32579264
450	83.27339198
451	83.23839802
452	83.17097925
453	83.10507011
454	83.00026718
455	82.87557548
456	82.80336064
457	82.74735699
458	82.67018307
459	82.61347065
460	82.59000887
461	82.5083699
462	82.44280803
463	82.42593036
464	82.3793036
465	82.26092822
466	82.1747762
467	82.06721304
468	81.99508768
469	81.88936236
470	81.81533011
471	81.74351568
472	81.66656209
473	81.64401184
474	81.56462875
475	81.47553102
476	81.44867677
477	81.38279577
478	81.33048541
479	81.26552146
480	81.23291396
481	81.11914581
482	81.04270709
483	80.96123045
484	80.89726469
485	80.89053802
486	80.82762484
487	80.74321671
488	80.66014342
489	80.6311276
490	80.56867282
491	80.47549522
492	80.37216733
493	80.32769732
494	80.2788283
495	80.20960525
496	80.11691836
497	80.07745755
498	79.99178746
499	79.91068676
